name,kind,domain,omics_type,contributing_projects,n_projects,n_implementations,licenses,integration_mode,redistributable,signature,external_deps,source_paths,description,native_connectors,availability
README,agent_role,.agents,general,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/.agents/README.md,"# .agents/ Project context for AI coding assistants (Claude Code, Cursor, Copilot, Windsurf, etc.). These files help AI tools understand PantheonOS's architecture, conventions, and module structure so they can provide",mcp-genes-ontologies,already-available
SkillManager,agent_role,architecture,general,STELLA,1,1,Apache-2.0,vendor,True,,,STELLA/skill_manager.py,"Unified skill lifecycle manager for STELLA. Responsibilities: - Skill retrieval (find relevant skills for a query) - Skill execution tracking (record runs, update quality metrics) - Skill creation (au",,wrappable
StatisticianAgent,agent_role,architecture,general,GenoMAS,1,1,MIT,vendor,True,,,GenoMAS/agents/statistician_agent.py,Agent/role class in agents/statistician_agent.py,,wrappable
TCGAAgent,agent_role,architecture,general,GenoMAS,1,1,MIT,vendor,True,,,GenoMAS/agents/tcga_agent.py,Agent/role class in agents/tcga_agent.py,,wrappable
TestAgentPermissions,agent_role,architecture,general,Agentomics,1,1,MIT,vendor,True,,,Agentomics/test/test_agent_permissions.py,Test suite for agent isolation and security.,,wrappable
TestMemoryCodingAgent,agent_role,architecture,general,BioMedAgent,1,1,NONE,adapter-only,False,,,BioMedAgent/lab/memory.py,Agent/role class in lab/memory.py,,needs-new-adapter
TestMemoryToolAgent,agent_role,architecture,general,BioMedAgent,1,1,NONE,adapter-only,False,,,BioMedAgent/lab/memory.py,Agent/role class in lab/memory.py,,needs-new-adapter
TestMemoryWorkflowAgent,agent_role,architecture,general,BioMedAgent,1,1,NONE,adapter-only,False,,,BioMedAgent/lab/memory.py,Agent/role class in lab/memory.py,,needs-new-adapter
ToolExecutor,agent_role,architecture,general,OriGene,1,1,NOASSERTION,adapter-only,False,,,OriGene/src/local_deep_research/tool_executor.py,Execute the tools according to the tool calling input.,mcp-genes-ontologies,already-available
ToolManager,agent_role,architecture,general,BioMedAgent,1,1,NONE,adapter-only,False,,,BioMedAgent/scripts/component.py,Agent/role class in scripts/component.py,,needs-new-adapter
ToolParseAgent,agent_role,architecture,general,OriGene,1,1,NOASSERTION,adapter-only,False,,,OriGene/src/local_deep_research/evidence_parser.py,Agent class in src/local_deep_research/evidence_parser.py,,needs-new-adapter
memory-learning-systems,agent_role,.agents,general,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/.agents/memory-learning-systems.md,"# Pantheon Memory & Learning Systems - Technical Documentation > This document provides a comprehensive overview of the two subsystems for reviewers, covering mechanisms, data flows, and Pantheon integration. --- ## T",,wrappable
reporter,agent_role,agents,general,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/agents/paper_write/reporter.md,Paper Write Team reporter. Converts the writer's Markdown SSoT (paper.md) into HTML preview (report and academic styles) and academic PDF via Tectonic. The UI handles HTML → PDF export for report style. Also supports DOCX export via pandoc.,,wrappable
General Team,agent_role,teams,imaging,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/teams/default.md,A streamlined team with Leader handling most tasks directly and delegating complex specialized work.,,wrappable
OmicVerse Leader,agent_role,agents,literature,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/agents/omicverse_leader.md,"Coordinator for OmicVerse analysis projects. Routes work between the OmicVerse execution specialist, researcher, and illustrator while keeping analysis outputs organized in a reproducible workdir.",,wrappable
Paper Write Team,agent_role,teams,literature,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/teams/paper_write_team.md,"AI team for autonomous report and academic paper writing. Markdown-first architecture: writer produces paper.md (SSoT) in standard Markdown, reporter renders HTML preview and (for academic style) compiles PDF via Tectonic. - Report style (default): HTML template + CSS. UI handles HTML → PDF export. - Academic style: LaTeX template + Tectonic → PDF. HTML preview also generated.",,wrappable
Researcher,agent_role,agents,literature,PantheonOS,1,2,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/agents/rare_disease/researcher.md;PantheonOS_src/pantheon/factory/templates/agents/researcher.md,"Information-gathering specialist: codebase research, web & literature search, reading and structuring existing material. Use for ""explore / read / understand / search / look into ..."" tasks. Returns findings and reference documents — does NOT run analyses, execute code, or produce computational deliverables (that stays with the leader/executor).",,wrappable
auditor,agent_role,agents,literature,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/agents/rare_disease/auditor.md,"# rare_disease/auditor You are the audit and reflection specialist for a rare disease multi-agent team. Your job is to review the current reasoning package before final delivery. You check for contradictions, unsuppo",,wrappable
browser_use,agent_role,agents,literature,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/agents/single_cell/browser_use.md,"Browser use agent, with expertise in using the browser to search the web and collect the information.",,wrappable
leader,agent_role,agents,literature,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/agents/paper_write/leader.md,"Leader of the Paper Write Team. Orchestrates research, drafting (Markdown SSoT), and rendering/export. Default: report style (HTML preview; UI exports to PDF). Academic style (LaTeX + Tectonic → PDF) when user explicitly requests.",,wrappable
writer,agent_role,agents,proteomics,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/agents/paper_write/writer.md,Paper writer agent. Produces reports and academic papers in standard Markdown as the single source of truth (SSoT). Supports report style (default) and academic style. Calls researcher for evidence gaps.,,wrappable
OmicVerse Expert,agent_role,agents,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/agents/omicverse_expert.md,"Specialized execution agent for OmicVerse-based analysis. Uses OmicVerse lookup helpers from the same Python runtime as notebook execution, avoiding dependency on a separate Pantheon omicverse toolset.",mcp-genes-ontologies,already-available
OmicVerse Team,agent_role,teams,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/teams/omicverse_team.md,"Specialized team for OmicVerse-driven single-cell and spatial omics analysis. Uses OmicVerse-native lookup APIs from the same Python runtime that executes notebooks, instead of relying on a separate Pantheon omicverse toolset.",,wrappable
Scientific Illustrator,agent_role,agents,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/agents/scientific_illustrator.md,"BioRender-style scientific illustration expert. Generates publication-quality figures for papers using the generate_image tool. Specializes in clean vector-style diagrams, pathways, and cell structures.",,wrappable
Single Cell Analysis Team,agent_role,teams,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/teams/single_cell_team.md,"AI team for autonomous exploratory analysis of single-cell and spatial omics data. Features 7 specialized agents for data analysis, scFM routing, hypothesis generation, and publication-quality reporting.",,wrappable
analysis_expert,agent_role,agents,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/agents/single_cell/analysis_expert.md,"Analysis expert in Single-Cell and Spatial Omics data analysis, with expertise in analyze data and do gene panel selection with python tools in scverse ecosystem and jupyter notebook. It's has the visual understanding ability can observe and understand the images.",mcp-genes-ontologies,already-available
biologist,agent_role,agents,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/agents/single_cell/biologist.md,"Biologist agent, thinking like a professional biologist, with expertise in generating hypotheses and interpreting the analysis results. It's has the ability to combine the observation of the analysis results and collect the background information from the literatures to interpret the results in the biological aspect.",,wrappable
conventions,agent_role,.agents,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/.agents/conventions.md,# Conventions ## Environment Setup ```bash # Create virtual environment and install dependencies uv sync # Activate the environment source .venv/bin/activate # Install with optional features uv sync --extra knowledge,,wrappable
fm_router,agent_role,agents,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/agents/single_cell/fm_router.md,"Specialized routing sub-agent for SCFM (single-cell foundation models). Infers a single task, selects the best-fit model, and returns an executable SCFM tool-call plan.",,wrappable
overview,agent_role,.agents,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/.agents/overview.md,"# Project Overview ## What is PantheonOS? PantheonOS is an **evolvable and privacy-preserving multi-agent framework** for building distributed, scalable intelligent systems. It specializes in automating end-to-end work",,wrappable
system_manager,agent_role,agents,scrnaseq,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/agents/single_cell/system_manager.md,"System manager agent, responsible for the system environment investigation and software environment installation.",,wrappable
Rare Disease MDT Copilot,agent_role,teams,wgs,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/teams/rare_disease_team.md,"Specialized team for rare disease case support and evidence-backed differential reasoning. A three-role design split by the nature of the work: the leader owns all interdependent reasoning (phenotype interpretation, candidate synthesis, ranking, and report writing) in a single lossless context; researchers handle tool-intensive collection (ontology, evidence, genotype) in parallel isolated context",mcp-drug-regulatory,already-available
hf_katielink_moleculenet_bace,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`katielink/moleculenet-benchmark`](https://huggingface.co/d,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_katielink_moleculenet_bbbp,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`katielink/moleculenet-benchmark`](https://huggingface.co/d,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_katielink_moleculenet_clintox,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`katielink/moleculenet-benchmark`](https://huggingface.co/d,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_katielink_moleculenet_esol,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`katielink/moleculenet-benchmark`](https://huggingface.co/d,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_katielink_moleculenet_freesolv,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`katielink/moleculenet-benchmark`](https://huggingface.co/d,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_katielink_moleculenet_hiv,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`katielink/moleculenet-benchmark`](https://huggingface.co/d,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_katielink_moleculenet_lipo,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`katielink/moleculenet-benchmark`](https://huggingface.co/d,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_katielink_moleculenet_sider,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`katielink/moleculenet-benchmark`](https://huggingface.co/d,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_katielink_moleculenet_tox21,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`katielink/moleculenet-benchmark`](https://huggingface.co/d,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_moleculeace,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`karina-zadorozhny/moleculeace`](https://huggingface.co/dat,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_moleculeace_chembl1871_ki,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`karina-zadorozhny/moleculeace`](https://huggingface.co/dat,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,mcp-chembl,already-available
hf_moleculeace_chembl204_ki,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`karina-zadorozhny/moleculeace`](https://huggingface.co/dat,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,mcp-chembl,already-available
hf_moleculeace_chembl214_ki,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`karina-zadorozhny/moleculeace`](https://huggingface.co/dat,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,mcp-chembl,already-available
hf_moleculeace_chembl228_ki,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`karina-zadorozhny/moleculeace`](https://huggingface.co/dat,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,mcp-chembl,already-available
hf_moleculeace_chembl237_ec50,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`karina-zadorozhny/moleculeace`](https://huggingface.co/dat,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,mcp-chembl,already-available
hf_moleculenet_bace,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`scikit-fingerprints/MoleculeNet_BACE`](https://huggingface,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_moleculenet_bbbp,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`scikit-fingerprints/MoleculeNet_BBBP`](https://huggingface,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_moleculenet_clintox,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`scikit-fingerprints/MoleculeNet_ClinTox`](https://huggingf,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_moleculenet_esol,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`scikit-fingerprints/MoleculeNet_ESOL`](https://huggingface,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_moleculenet_freesolv,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`scikit-fingerprints/MoleculeNet_FreeSolv`](https://hugging,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_moleculenet_hiv,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`scikit-fingerprints/MoleculeNet_HIV`](https://huggingface.,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_moleculenet_lipophilicity,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`scikit-fingerprints/MoleculeNet_Lipophilicity`](https://hu,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_moleculenet_pcba,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`scikit-fingerprints/MoleculeNet_PCBA`](https://huggingface,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_moleculenet_sider,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`scikit-fingerprints/MoleculeNet_SIDER`](https://huggingfac,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_moleculenet_toxcast,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`scikit-fingerprints/MoleculeNet_ToxCast`](https://huggingf,BioMedArena/docs/benchmark_datasets.md,chemistry | task=molecule_property | scorer=exactMatch,,wrappable
hf_smiles_caption_mol2text,benchmark,chemistry,chemistry,BioMedArena,1,1,MIT,vendor,True,,[`zjunlp/Mol-Instructions`](https://huggingface.co/datasets/,BioMedArena/docs/benchmark_datasets.md,chemistry | task=qa | scorer=openText,,wrappable
agentclinic,benchmark,doctor-patient diagnostic scenarios,clinical,BioMedArena,1,1,MIT,vendor,True,,AgentClinic official release,BioMedArena/docs/benchmark_datasets.md,doctor-patient diagnostic scenarios | task=clinical simulation | scorer=openText,,wrappable
aa_lcr,benchmark,long-context reasoning over documents,general,BioMedArena,1,1,MIT,vendor,True,,ArtificialAnalysis/AA-LCR,BioMedArena/docs/benchmark_datasets.md,long-context reasoning over documents | task=long-context QA | scorer=openText,,wrappable
bioasq,benchmark,factoid/list/yes-no biomedical questions,general,BioMedArena,1,1,MIT,vendor,True,,BioASQ official/local source,BioMedArena/docs/benchmark_datasets.md,factoid/list/yes-no biomedical questions | task=biomedical QA | scorer=openText,,wrappable
bioprobench,benchmark,biological protocol understanding and repair,general,BioMedArena,1,1,MIT,vendor,True,,BioProBench official data,BioMedArena/docs/benchmark_datasets.md,biological protocol understanding and repair | task=protocol QA | scorer=mixed,,wrappable
bixbench,benchmark,biomedical data-analysis tasks with optional official data c,general,BioMedArena,1,1,MIT,vendor,True,,futurehouse/BixBench,BioMedArena/docs/benchmark_datasets.md,biomedical data-analysis tasks with optional official data capsules | task=bioinformatics agent QA | scorer=MCQ adaptation or open-answer official-compatible scorer,,wrappable
gpqa_bio,benchmark,graduate-level biology/chemistry/medicine questions,general,BioMedArena,1,1,MIT,vendor,True,,Idavidrein/gpqa:gpqa_diamond/train,BioMedArena/docs/benchmark_datasets.md,graduate-level biology/chemistry/medicine questions | task=graduate science MCQ | scorer=multipleChoice,,wrappable
healthbench,benchmark,consumer-health answer quality and safety,general,BioMedArena,1,1,MIT,vendor,True,,OpenAI HealthBench official data,BioMedArena/docs/benchmark_datasets.md,consumer-health answer quality and safety | task=health conversation | scorer=openText,,wrappable
hf_adaptllm_chemprot,benchmark,biomedical,general,BioMedArena,1,1,MIT,vendor,True,,[`AdaptLLM/medicine-tasks`](https://huggingface.co/datasets/,BioMedArena/docs/benchmark_datasets.md,biomedical | task=mcq | scorer=multipleChoice,,wrappable
hf_adaptllm_medicine_tasks,benchmark,medical,general,BioMedArena,1,1,MIT,vendor,True,,[`AdaptLLM/medicine-tasks`](https://huggingface.co/datasets/,BioMedArena/docs/benchmark_datasets.md,medical | task=mcq | scorer=multipleChoice,,wrappable
hf_adaptllm_mqp,benchmark,medical,general,BioMedArena,1,1,MIT,vendor,True,,[`AdaptLLM/medicine-tasks`](https://huggingface.co/datasets/,BioMedArena/docs/benchmark_datasets.md,medical | task=mcq | scorer=multipleChoice,,wrappable
hf_adaptllm_rct,benchmark,biomedical,general,BioMedArena,1,1,MIT,vendor,True,,[`AdaptLLM/medicine-tasks`](https://huggingface.co/datasets/,BioMedArena/docs/benchmark_datasets.md,biomedical | task=mcq | scorer=multipleChoice,,wrappable
hf_ade_corpus_v2,benchmark,biomedical,general,BioMedArena,1,1,MIT,vendor,True,,[`ade-benchmark-corpus/ade_corpus_v2`](https://huggingface.c,BioMedArena/docs/benchmark_datasets.md,biomedical | task=classification | scorer=exactMatch,,wrappable
hf_anatem,benchmark,biomedical,general,BioMedArena,1,1,MIT,vendor,True,,[`bigbio/anat_em`](https://huggingface.co/datasets/bigbio/an,BioMedArena/docs/benchmark_datasets.md,biomedical | task=classification | scorer=exactMatch,,wrappable
hf_bacbench_antibiotic_resistance_dna,benchmark,dna,general,BioMedArena,1,1,MIT,vendor,True,,[`macwiatrak/bacbench-antibiotic-resistance-dna`](https://hu,BioMedArena/docs/benchmark_datasets.md,dna | task=classification | scorer=exactMatch,,wrappable
hf_bacbench_phenotypic_traits_dna,benchmark,dna,general,BioMedArena,1,1,MIT,vendor,True,,[`macwiatrak/bacbench-phenotypic-traits-dna`](https://huggin,BioMedArena/docs/benchmark_datasets.md,dna | task=classification | scorer=exactMatch,,wrappable
hf_bc2gm,benchmark,biomedical,general,BioMedArena,1,1,MIT,vendor,True,,[`spyysalo/bc2gm_corpus`](https://huggingface.co/datasets/sp,BioMedArena/docs/benchmark_datasets.md,biomedical | task=classification | scorer=exactMatch,,wrappable
hf_bc5cdr,benchmark,biomedical,general,BioMedArena,1,1,MIT,vendor,True,,[`EMBO/BLURB`](https://huggingface.co/datasets/EMBO/BLURB),BioMedArena/docs/benchmark_datasets.md,biomedical | task=classification | scorer=exactMatch,,wrappable
hf_bigbio_med_qa,benchmark,medical,general,BioMedArena,1,1,MIT,vendor,True,,[`bigbio/med_qa`](https://huggingface.co/datasets/bigbio/med,BioMedArena/docs/benchmark_datasets.md,medical | task=mcq | scorer=multipleChoice,,wrappable
hf_biocreative_viii_biored,benchmark,biomedical,general,BioMedArena,1,1,MIT,vendor,True,,[`bigbio/biored`](https://huggingface.co/datasets/bigbio/bio,BioMedArena/docs/benchmark_datasets.md,biomedical | task=classification | scorer=exactMatch,,wrappable
hf_biomedbench,benchmark,biomedical,general,BioMedArena,1,1,MIT,vendor,True,,[`biomedbench/BioMedBench`](https://huggingface.co/datasets/,BioMedArena/docs/benchmark_datasets.md,biomedical | task=qa | scorer=openText,,wrappable
hf_biored,benchmark,biomedical,general,BioMedArena,1,1,MIT,vendor,True,,[`bigbio/biored`](https://huggingface.co/datasets/bigbio/bio,BioMedArena/docs/benchmark_datasets.md,biomedical | task=classification | scorer=exactMatch,,wrappable
hf_biosses,benchmark,biomedical,general,BioMedArena,1,1,MIT,vendor,True,,[`mteb/biosses-sts`](https://huggingface.co/datasets/mteb/bi,BioMedArena/docs/benchmark_datasets.md,biomedical | task=regression | scorer=exactNumeric,,wrappable
hf_blurb,benchmark,biomedical,general,BioMedArena,1,1,MIT,vendor,True,,[`EMBO/BLURB`](https://huggingface.co/datasets/EMBO/BLURB),BioMedArena/docs/benchmark_datasets.md,biomedical | task=classification | scorer=exactMatch,,wrappable
hf_careqa,benchmark,medical,general,BioMedArena,1,1,MIT,vendor,True,,[`HPAI-BSC/CareQA`](https://huggingface.co/datasets/HPAI-BSC,BioMedArena/docs/benchmark_datasets.md,medical | task=mcq | scorer=multipleChoice,,wrappable
hf_chembench,benchmark,chemistry,general,BioMedArena,1,1,MIT,vendor,True,,[`jablonkagroup/ChemBench`](https://huggingface.co/datasets/,BioMedArena/docs/benchmark_datasets.md,chemistry | task=qa | scorer=openText,,wrappable
hf_chemistry_qa,benchmark,chemistry,general,BioMedArena,1,1,MIT,vendor,True,,[`avaliev/ChemistryQA`](https://huggingface.co/datasets/aval,BioMedArena/docs/benchmark_datasets.md,chemistry | task=qa | scorer=openText,,wrappable
hf_chemllmbench,benchmark,chemistry,general,BioMedArena,1,1,MIT,vendor,True,,[`blc-org/chemllmbench`](https://huggingface.co/datasets/blc,BioMedArena/docs/benchmark_datasets.md,chemistry | task=qa | scorer=openText,,wrappable
hf_clicr,benchmark,clinical,general,BioMedArena,1,1,MIT,vendor,True,,[`bigbio/clicr`](https://huggingface.co/datasets/bigbio/clic,BioMedArena/docs/benchmark_datasets.md,clinical | task=qa | scorer=openText,,wrappable
hf_clinical_trials_eligibility_nlp,benchmark,clinical,general,BioMedArena,1,1,MIT,vendor,True,,[`bigbio/n2c2_2018_track1`](https://huggingface.co/datasets/,BioMedArena/docs/benchmark_datasets.md,clinical | task=classification | scorer=exactMatch,,wrappable
hf_cmb,benchmark,medical,general,BioMedArena,1,1,MIT,vendor,True,,[`FreedomIntelligence/CMB`](https://huggingface.co/datasets/,BioMedArena/docs/benchmark_datasets.md,medical | task=mcq | scorer=multipleChoice,,wrappable
